pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_date,dropoff_date,trip_duration
9.4268316,-0.9273208,9.4113281,-0.8507274,25-01-20,26-01-20,780
9.4268316,-0.9273208,9.3355994,-2.2296943,25-01-20,26-01-20,1920
9.3757859,-0.8877361,9.4113281,-0.8507274,25-01-20,26-01-20,1800
9.4268316,-0.9273208,,,26-01-20,27-01-20,0
9.4113281,-0.8507274,9.2878334,-1.5918455,26-01-20,27-01-20,360
9.4268316,-0.9273208,9.4241744,-0.8709455,26-01-20,27-01-20,1320
9.4215635,-0.8641348,9.4113281,-0.8507274,26-01-20,27-01-20,420
9.4113281,-0.8507274,9.4268316,-0.9273208,26-01-20,27-01-20,1380
9.4268316,-0.9273208,9.3930083,-0.8253528,26-01-20,27-01-20,420
9.4268316,-0.9273208,9.3355994,-2.2296943,26-01-20,27-01-20,2280
9.3328869,-2.2297566,9.4113281,-0.8507274,26-01-20,27-01-20,780
9.4268316,-0.9273208,9.4268316,-0.9273208,26-01-20,27-01-20,960
9.4268316,-0.9273208,9.4268316,-0.9273208,26-01-20,27-01-20,900
9.4268316,-0.9273208,9.4113281,-0.8507274,26-01-20,27-01-20,240
9.4156931,-0.8511785,9.4268316,-0.9273208,26-01-20,27-01-20,3180
9.4268316,-0.9273208,9.4268316,-0.9273208,26-01-20,27-01-20,2280
9.4268316,-0.9273208,9.4268316,-0.9273208,26-01-20,27-01-20,1080
9.4054068,-0.8436722,9.4113281,-0.8507274,26-01-20,27-01-20,360
9.4113281,-0.8507274,9.4268316,-0.9273208,26-01-20,27-01-20,2280
9.4320908,-0.8703527,9.4268316,-0.9273208,26-01-20,27-01-20,360
9.4268316,-0.9273208,9.4113281,-0.8507274,26-01-20,27-01-20,420
9.4113281,-0.8507274,9.3757859,-0.8877361,27-01-20,28-01-20,39500
9.3757859,-0.8877361,9.4046122,-0.8626149,27-01-20,28-01-20,2700
5.6009766,-0.2758521,9.4268316,-0.9273208,27-01-20,28-01-20,1020
9.4268316,-0.9273208,9.4035604,-0.9124443,27-01-20,28-01-20,780
9.4035604,-0.9124443,9.4268316,-0.9273208,27-01-20,28-01-20,900
9.4268316,-0.9273208,9.4113281,-0.8507274,27-01-20,28-01-20,720
9.4113281,-0.8507274,9.4113281,-0.8507274,27-01-20,28-01-20,120
9.4113281,-0.8507274,9.4268316,-0.9273208,27-01-20,28-01-20,480
9.4268316,-0.9273208,9.4268316,-0.9273208,27-01-20,28-01-20,1680
9.4268316,-0.9273208,9.4268316,-0.9273208,27-01-20,28-01-20,2280
9.4268316,-0.9273208,9.3963162,-0.8320596,27-01-20,28-01-20,300
9.4268316,-0.9273208,9.4046122,-0.8626149,27-01-20,28-01-20,300
9.4266623,-0.927321,9.4268316,-0.9273208,27-01-20,28-01-20,300
9.4268316,-0.9273208,9.4113281,-0.8507274,27-01-20,28-01-20,2100
9.4113281,-0.8507274,9.4320961,-0.8703527,27-01-20,28-01-20,1260
9.4320961,-0.8703527,9.3757859,-0.8877361,27-01-20,28-01-20,3420
9.3355994,-2.2296943,9.4046755,-0.8624338,27-01-20,28-01-20,1140
9.4046755,-0.8624338,9.4268316,-0.9273208,27-01-20,28-01-20,480
9.4113281,-0.8507274,9.4268316,-0.9273208,28-01-20,29-01-20,2940
9.4147764,-0.8607925,9.4268316,-0.9273208,28-01-20,29-01-20,240
9.4113281,-0.8507274,9.4268316,-0.9273208,28-01-20,29-01-20,300
9.4268316,-0.9273208,9.4522303,-0.8576086,28-01-20,29-01-20,3540
9.4522303,-0.8576086,9.4046122,-0.8626149,28-01-20,29-01-20,1800
9.4268316,-0.9273208,9.4268316,-0.9273208,28-01-20,29-01-20,300
9.4268316,-0.9273208,9.4268316,-0.9273208,28-01-20,29-01-20,1440
9.4268316,-0.9273208,9.4363458,-0.9273208,28-01-20,29-01-20,780
9.4363458,-0.8361036,9.4500209,-0.8587548,28-01-20,29-01-20,2580
9.4309703,-1.2057763,9.4040516,-0.8544244,28-01-20,29-01-20,900
9.4306487,-1.0700649,9.4113281,-0.8507274,28-01-20,29-01-20,300
9.4113281,-0.8507274,9.4268316,-0.9273208,28-01-20,29-01-20,480
9.4268316,-0.9273208,9.4268316,-0.9273208,28-01-20,29-01-20,360
9.4268316,-0.9273208,9.4268316,-0.9273208,28-01-20,29-01-20,240
9.4113281,-0.8507274,,,28-01-20,29-01-20,0
9.4268316,-0.9273208,,,29-01-20,30-01-20,0
9.4113281,-0.8507274,9.3963162,-0.8320596,29-01-20,30-01-20,1740
9.3963162,-0.8320596,9.4113281,-0.8507274,29-01-20,30-01-20,360
9.4113281,-0.8507274,9.3963162,-0.8320596,29-01-20,30-01-20,420
9.3930136,-0.8256698,9.4113281,-0.8507274,29-01-20,30-01-20,300
9.4113281,-0.8507274,9.4268316,-0.9273208,29-01-20,30-01-20,960
9.4268316,-0.9273208,9.5522375,-0.8655626,29-01-20,30-01-20,2340
9.3355994,-2.2296943,9.4534916,-0.8474326,29-01-20,30-01-20,4440
9.3995966,-0.8454659,9.3355994,-2.2296943,29-01-20,30-01-20,2580
9.4268316,-0.9273208,9.4268316,-0.9273208,29-01-20,30-01-20,240
9.4268316,-0.9273208,9.4268316,-0.9273208,29-01-20,30-01-20,960
9.4268316,-0.9273208,9.4268316,-0.9273208,29-01-20,30-01-20,720
9.4268316,-0.9273208,9.4113281,-0.8507274,29-01-20,30-01-20,660
9.4268316,-0.9273208,,,30-01-20,31-01-20,0
